snapped_at,price,market_cap,total_volume
2016-04-18 00:00:00 UTC,0.00150433,6102.087760731806,47.1818568304345
2016-04-19 00:00:00 UTC,0.00175107,9014.173758021361,65.78738556901035
2016-04-20 00:00:00 UTC,0.00199962,12612.642976824352,64.86945738819982
2016-04-21 00:00:00 UTC,0.00150039,11115.937327153359,91.21973025448372
2016-04-22 00:00:00 UTC,0.00140753,12018.024608946229,74.37218146764171
2016-04-23 00:00:00 UTC,0.00141846,13709.371851224818,70.05544036697248
2016-04-24 00:00:00 UTC,0.00129975,13882.61671947988,30.56136292239189
2016-04-25 00:00:00 UTC,0.000913557,10557.48327408713,26.71247405651917
2016-04-26 00:00:00 UTC,0.000977636,11392.820735521427,29.788205503892854
2016-04-27 00:00:00 UTC,0.000951379,12532.675831452905,30.82489449931429
2016-04-28 00:00:00 UTC,0.00102611,14411.30362444455,7.8107420496237525
2016-04-29 00:00:00 UTC,0.000932517,13907.996100275981,34.693492109185385
2016-04-30 00:00:00 UTC,0.000912794,14409.575873248232,6.320896406666763
2016-05-01 00:00:00 UTC,0.000990755,16505.72066229394,8.683770896215464
2016-05-02 00:00:00 UTC,0.000963813,16900.739575829306,31.043036002488737
2016-05-03 00:00:00 UTC,0.000980618,18054.10727791781,42.454868232114585
2016-05-04 00:00:00 UTC,0.000939115,18111.92168029694,11.501347694520035
2016-05-05 00:00:00 UTC,0.000928258,18714.914966730765,8.846879569519347
2016-05-06 00:00:00 UTC,0.00080164,17068.5268964,23.385617457243832
2016-05-07 00:00:00 UTC,0.00070825,15700.0398025,9.33503864210153
2016-05-08 00:00:00 UTC,0.00065152,15004.903027200002,6.1867580014104835
2016-05-09 00:00:00 UTC,0.00052138,12463.938224599999,5.923824337070265
2016-05-10 00:00:00 UTC,0.00054997,13635.6701956,7.005071381061225
2016-05-11 00:00:00 UTC,0.00054869,14091.0670101,2.1813057213092413
2016-05-12 00:00:00 UTC,0.00058434,15518.8199124,5.499369683712431
2016-05-13 00:00:00 UTC,0.00070437,19311.4728042,32.55704350564691
2016-05-14 00:00:00 UTC,0.00082225,23264.3714875,5.424122031453125
2016-05-15 00:00:00 UTC,0.00078896,23013.450376,0.864305377946664
2016-05-16 00:00:00 UTC,0.00074454,22364.6190918,1.5635240551196568
2016-05-17 00:00:00 UTC,0.00074211,22941.5736978,0.936691169644275
2016-05-18 00:00:00 UTC,0.00074,23524.8368,3.3701613721596
2016-05-19 00:00:00 UTC,0.0007893100000000001,25784.460807900003,5.600586459443046
2016-05-20 00:00:00 UTC,0.0009499999999999999,31866.904499999997,8.615111438675
2016-05-21 00:00:00 UTC,0.0009499999999999999,32688.492999999995,8.7780023279085
2016-05-22 00:00:00 UTC,0.0009511300000000001,33573.0342965,17.142459583590426
2016-05-23 00:00:00 UTC,0.0010000000000000002,36171.22000000001,6.30587563554
2016-05-24 00:00:00 UTC,0.0011,40605.642,30.316468755584
2016-05-25 00:00:00 UTC,0.0012684,48104.412468,10.51686769967442
2016-05-26 00:00:00 UTC,0.00159,61693.9557,40.1978621252658
2016-05-27 00:00:00 UTC,0.00098021,38892.909609400005,29.307737237129228
2016-05-28 00:00:00 UTC,0.00090319,36584.9392884,6.51658849019377
2016-05-29 00:00:00 UTC,0.0008500100000000001,34544.644402800004,4.562719071617391
2016-05-30 00:00:00 UTC,0.0008970299999999999,37944.4497327,4.2348812636711095
2016-05-31 00:00:00 UTC,0.0008099800000000002,34970.25471560001,17.450829312905817
2016-06-01 00:00:00 UTC,0.0007401,32600.946138,4.242399922390071
2016-06-02 00:00:00 UTC,0.00075996,34150.9760856,2.5659988120777393
2016-06-03 00:00:00 UTC,0.00063746,29203.9103578,8.03379501307454
2016-06-04 00:00:00 UTC,0.0007494199999999999,34975.9335114,8.838033846797456
2016-06-05 00:00:00 UTC,0.0006394399999999999,30402.5456752,8.794794567303633
2016-06-06 00:00:00 UTC,0.00061999,30025.973102299995,2.216672700973233
2016-06-07 00:00:00 UTC,0.0005923200000000001,29203.887436800003,4.386221684922182
2016-06-08 00:00:00 UTC,0.0006301,31610.031368999997,11.838998738647941
2016-06-09 00:00:00 UTC,0.00067998,34707.7839528,12.252607613641182
2016-06-10 00:00:00 UTC,0.0006375000000000003,33090.55312500001,10.662340347031876
2016-06-11 00:00:00 UTC,0.0006334,33425.480768,3.92018374228454
2016-06-12 00:00:00 UTC,0.00056335,30229.597607,7.542328921792403
2016-06-13 00:00:00 UTC,0.0005505,30028.525365,6.31950011738997
2016-06-14 00:00:00 UTC,0.00056,31037.776,1.3726329913296
2016-06-15 00:00:00 UTC,0.0005611200000000001,31584.709732800005,2.3130176728991136
2016-06-16 00:00:00 UTC,0.0005209299999999999,29779.281217299995,4.362366011741838
2016-06-17 00:00:00 UTC,0.00041489999999999995,24081.625799999998,13.397212637627023
2016-06-18 00:00:00 UTC,0.0004,23562.724,1.000062275736
2016-06-19 00:00:00 UTC,0.00043651000000000003,26096.082489700002,4.527845464084192
2016-06-20 00:00:00 UTC,0.00041,24864.9133,4.5244196602915
2016-06-21 00:00:00 UTC,0.0003,18460.422,1.710963090255
2016-06-22 00:00:00 UTC,0.0003036,18944.524632,1.628574550248888
2016-06-23 00:00:00 UTC,0.00044999999999999993,28479.748499999998,7.8324640692975
2016-06-24 00:00:00 UTC,0.00036317999999999995,23303.466490799998,5.111938789169139
2016-06-25 00:00:00 UTC,0.00034001,22114.4612062,6.686825199720323
2016-06-26 00:00:00 UTC,0.00031011999999999994,20438.539231199997,5.06369356504988
